"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4215","s",20,-0.36,0.73801428,0.219397618921321
"ANH4215","s",35,14.64,0,1.63859752313245e-06
"ANH4215","s",50,29.64,0,1.64497619877362e-07
"ANH4215","s",65,44.64,0,2.43384920360343e-09
"ANH4215","sh",20,-4.37,0.78129195,0.31894305550921
"ANH4215","sh",35,10.63,0.00362599,0.00190494299798046
"ANH4215","sh",50,25.63,0,4.36959961243389e-05
"ANH4215","sh",65,40.63,0,1.06533514747495e-05
"ANH4215","u_F1",20,3.66,0.43407145,0.253136263876224
"ANH4215","u_F1",35,18.66,0.08363555,0.183356860557048
"ANH4215","u_F1",50,33.66,0.04083347,0.153798285235747
"ANH4215","u_F1",65,48.66,0,1.02362464918896e-05
"ANH4215","u_F2",20,-8.8,0.93921428,0.366570556351979
"ANH4215","u_F2",35,6.2,0.0776482,0.0472657356950718
"ANH4215","u_F2",50,21.2,0.08470131,0.166372374428146
"ANH4215","u_F2",65,36.2,0.00179841,0.0333191345756735
"ANH4216","a_F1",20,4.9,0.46394789,0.474273940700889
"ANH4216","a_F1",35,19.9,0.84028549,0.519782573983088
"ANH4216","a_F1",50,34.9,0.02765698,0.0757704191787768
"ANH4216","a_F1",65,49.9,3.62e-06,1.17350184808283e-05
"ANH4216","a_F2",20,6.71,0.02032299,0.0170093283621509
"ANH4216","a_F2",35,21.71,0.55876768,0.175478520205971
"ANH4216","a_F2",50,36.71,1e-07,0.0012151595352461
"ANH4216","a_F2",65,51.71,0,1.3102362252423e-07
"ANH4216","i_F1",20,-6.54,0.66089843,0.29217840896221
"ANH4216","i_F1",35,8.46,0.15357297,0.0893869139066879
"ANH4216","i_F1",50,23.46,0.00300418,0.0141653153787927
"ANH4216","i_F1",65,38.46,0.00145232,0.0430154072188616
"ANH4216","i_F2",20,-8.64,0.84557523,0.998061677979397
"ANH4216","i_F2",35,6.36,0.01801751,0.00427041785825175
"ANH4216","i_F2",50,21.36,0.0236226,0.0371645495454179
"ANH4216","i_F2",65,36.36,2.99e-06,0.00191278721331453
"ANH4216","s",20,-10.36,0.14029048,0.269520943576881
"ANH4216","s",35,4.64,0.02378305,0.225519342718913
"ANH4216","s",50,19.64,0,1.37297425928075e-06
"ANH4216","s",65,34.64,3e-08,5.57842561701006e-05
"ANH4216","sh",20,5.63,0.98260821,0.83922287871273
"ANH4216","sh",35,20.63,0.0005418,0.0154040331176587
"ANH4216","sh",50,35.63,1.5e-07,9.31508464982117e-06
"ANH4216","sh",65,50.63,0,3.64406661406791e-06
"ANH4216","u_F1",20,-1.34,0.93111367,0.673491701777787
"ANH4216","u_F1",35,13.66,0.56701203,0.746446794221627
"ANH4216","u_F1",50,28.66,1.56e-06,7.70284695678051e-05
"ANH4216","u_F1",65,43.66,6e-07,1.6480039994248e-05
"ANH4216","u_F2",20,-3.8,0.5733809,0.935598356505239
"ANH4216","u_F2",35,11.2,0.68650999,0.831858345217416
"ANH4216","u_F2",50,26.2,0.02236542,0.041691292453908
"ANH4216","u_F2",65,41.2,2.781e-05,0.000228267745661151
"ANH4218","a_F1",20,9.9,0.34839183,0.458176660895391
"ANH4218","a_F1",35,24.9,0.26571863,0.465882891932023
"ANH4218","a_F1",50,39.9,0,1.67587265577002e-06
"ANH4218","a_F1",65,54.9,2.24e-05,0.000179566571111115
"ANH4218","a_F2",20,6.71,0.52279498,0.62440985756386
"ANH4218","a_F2",35,21.71,0.05494788,0.0110094653565334
"ANH4218","a_F2",50,36.71,0.16813573,0.0655230052507852
"ANH4218","a_F2",65,51.71,0,3.8216081418733e-08
"ANH4218","i_F1",20,-1.54,0.23455687,0.154821879133755
"ANH4218","i_F1",35,13.46,8.437e-05,7.73656954875266e-05
"ANH4218","i_F1",50,28.46,5e-08,1.31839371436925e-07
"ANH4218","i_F1",65,43.46,0.03036406,0.067333178444915
"ANH4218","i_F2",20,-3.64,0.63802932,0.528240704069741
"ANH4218","i_F2",35,11.36,0.42453603,0.243123265006322
"ANH4218","i_F2",50,26.36,0.00015019,3.66494199695597e-06
"ANH4218","i_F2",65,41.36,0,1.18680529804605e-07
"ANH4218","s",20,-5.36,0.13030661,0.177345590204463
"ANH4218","s",35,9.64,2e-08,2.99463386771762e-06
"ANH4218","s",50,24.64,0,7.06107622670459e-09
"ANH4218","s",65,39.64,0,3.68378362049015e-11
"ANH4218","sh",20,0.63,0.31157146,0.530950451780273
"ANH4218","sh",35,15.63,0.00042989,0.00296279697979261
"ANH4218","sh",50,30.63,0,2.44838127943525e-06
"ANH4218","sh",65,45.63,0,2.23361495644827e-07
"ANH4218","u_F1",20,3.66,0.75254579,0.159551996650066
"ANH4218","u_F1",35,18.66,0.33438292,0.470468302331986
"ANH4218","u_F1",50,33.66,0.20940409,0.00700615220907839
"ANH4218","u_F1",65,48.66,1e-08,4.93851244512743e-06
"ANH4218","u_F2",20,1.2,0.10632078,0.0789216018024101
"ANH4218","u_F2",35,16.2,0.0622614,0.000845596713150428
"ANH4218","u_F2",50,31.2,0.0334123,4.96449736967862e-05
"ANH4218","u_F2",65,46.2,0.02744542,0.0118451008016329
"ANH4219","a_F1",20,4.9,0.30426118,0.206768893147515
"ANH4219","a_F1",35,19.9,0.04979,0.343999600234151
"ANH4219","a_F1",50,34.9,0.00488749,0.379410117961195
"ANH4219","a_F1",65,49.9,8.3e-07,0.0577105819698389
"ANH4219","a_F2",20,6.71,0.79228455,0.631549290028447
"ANH4219","a_F2",35,21.71,0.06251486,0.251986310419913
"ANH4219","a_F2",50,36.71,0,7.16614289262555e-06
"ANH4219","a_F2",65,51.71,0,4.30556654666626e-06
"ANH4219","i_F1",20,-1.54,0.20519705,0.52379979449716
"ANH4219","i_F1",35,13.46,0.63586375,0.828915311074539
"ANH4219","i_F1",50,28.46,9.7e-07,3.95397469194019e-05
"ANH4219","i_F1",65,43.46,0,5.13842586475733e-09
"ANH4219","i_F2",20,-8.64,0.3795355,0.587833873778878
"ANH4219","i_F2",35,6.36,0.1183795,0.0174101768535835
"ANH4219","i_F2",50,21.36,1.691e-05,0.00255544394393064
"ANH4219","i_F2",65,36.36,2.58e-06,8.40215536932745e-05
"ANH4219","s",20,-5.36,0.96028528,0.572732478826741
"ANH4219","s",35,9.64,0.00512414,0.0152022828792647
"ANH4219","s",50,24.64,0,4.72572333963648e-08
"ANH4219","s",65,39.64,0,1.6837161405091e-08
"ANH4219","sh",20,0.63,0.6280289,0.354267789910055
"ANH4219","sh",35,15.63,0.01179499,0.284442044904062
"ANH4219","sh",50,30.63,0,5.39272895133083e-05
"ANH4219","sh",65,45.63,0,5.81009273754619e-05
"ANH4219","u_F1",20,3.66,0.12852743,0.118612982234619
"ANH4219","u_F1",35,18.66,0.62456084,0.229878878246701
"ANH4219","u_F1",50,33.66,0.00200149,0.00883717628517613
"ANH4219","u_F1",65,48.66,0,0.000105540242639714
"ANH4219","u_F2",20,-8.8,0.16322723,0.767956420456825
"ANH4219","u_F2",35,6.2,0.3703963,0.595310759960476
"ANH4219","u_F2",50,21.2,0.0813088,0.347524893303284
"ANH4219","u_F2",65,36.2,0.00010469,0.017654478917963
"ANH4220","a_F1",20,4.9,0.01830198,0.036890457775035
"ANH4220","a_F1",35,19.9,0.02059864,0.209062505907547
"ANH4220","a_F1",50,34.9,0.65375476,0.131105856473209
"ANH4220","a_F1",65,49.9,0.00201946,0.0279575965707359
"ANH4220","a_F2",20,-3.29,0.24855053,0.897216948796028
"ANH4220","a_F2",35,11.71,0.19125664,0.191772819870384
"ANH4220","a_F2",50,26.71,0,1.59560608868349e-06
"ANH4220","a_F2",65,41.71,0,4.18681135110661e-07
"ANH4220","i_F1",20,-11.54,0.97227215,0.898861729566674
"ANH4220","i_F1",35,3.46,0.41068724,0.523770284626405
"ANH4220","i_F1",50,18.46,0.62352215,0.871261163613491
"ANH4220","i_F1",65,33.46,1e-08,1.87064879751972e-06
"ANH4220","i_F2",20,-13.64,0.69074132,0.855242579139833
"ANH4220","i_F2",35,1.36,0.88378214,0.758402174328631
"ANH4220","i_F2",50,16.36,0.05680633,0.20411482906352
"ANH4220","i_F2",65,31.36,1e-08,1.11971602653824e-06
"ANH4220","s",20,-10.36,0.37841035,0.227056039446152
"ANH4220","s",35,4.64,0.78168798,0.485043050018797
"ANH4220","s",50,19.64,0,1.15183089994077e-08
"ANH4220","s",65,34.64,0,0.000324337138843368
"ANH4220","sh",20,-4.37,0.88901417,0.942042728723317
"ANH4220","sh",35,10.63,0.04481121,0.0359326244703858
"ANH4220","sh",50,25.63,4.74e-05,0.00274682840107575
"ANH4220","sh",65,40.63,0,4.82786663701787e-07
"ANH4220","u_F1",20,-6.34,0.36285385,0.487731969462694
"ANH4220","u_F1",35,8.66,0.02119824,0.186806803802392
"ANH4220","u_F1",50,23.66,0.9278723,0.691705361963883
"ANH4220","u_F1",65,38.66,1.74e-06,0.000742039166326458
"ANH4220","u_F2",20,-3.8,0.35741063,0.255590191743178
"ANH4220","u_F2",35,11.2,0.51548903,0.362184170372611
"ANH4220","u_F2",50,26.2,0.0008827,0.082946505587994
"ANH4220","u_F2",65,41.2,8e-08,0.00140770781796665
"ANH4221","a_F1",20,9.9,0.99064969,0.55854015792595
"ANH4221","a_F1",35,24.9,0.42789379,0.549342456807314
"ANH4221","a_F1",50,39.9,0.0279932,0.0136763662051672
"ANH4221","a_F1",65,54.9,0,9.01591192531098e-10
"ANH4221","a_F2",20,1.71,0.76717895,0.495455681053947
"ANH4221","a_F2",35,16.71,0.89370976,0.836222715606176
"ANH4221","a_F2",50,31.71,0,7.7110059582186e-08
"ANH4221","a_F2",65,46.71,0,7.62397533199705e-09
"ANH4221","i_F1",20,-1.54,0.1689573,0.287611792361094
"ANH4221","i_F1",35,13.46,0.75680753,0.366060563952562
"ANH4221","i_F1",50,28.46,3e-08,2.72557691795147e-08
"ANH4221","i_F1",65,43.46,0,1.4462968080498e-10
"ANH4221","i_F2",20,-3.64,0.88954359,0.729664164259205
"ANH4221","i_F2",35,11.36,0.80408936,0.858243548744175
"ANH4221","i_F2",50,26.36,0.00268899,0.00180376452395489
"ANH4221","i_F2",65,41.36,0,7.96600319788073e-08
"ANH4221","s",20,-0.36,0.07926633,0.302507749397058
"ANH4221","s",35,14.64,1.05e-06,2.38795771443363e-05
"ANH4221","s",50,29.64,0,1.93927948869444e-09
"ANH4221","s",65,44.64,0,2.7140984028785e-07
"ANH4221","sh",20,0.63,0.18987109,0.0838686415855245
"ANH4221","sh",35,15.63,0.0012697,0.0236348614101907
"ANH4221","sh",50,30.63,0,0.000272411015928094
"ANH4221","sh",65,45.63,0,9.71290110049967e-08
"ANH4221","u_F1",20,3.66,0.41388764,0.217549962479144
"ANH4221","u_F1",35,18.66,0.4556705,0.291832488390881
"ANH4221","u_F1",50,33.66,0,1.7344616539204e-07
"ANH4221","u_F1",65,48.66,0,2.8755413664428e-06
"ANH4221","u_F2",20,-8.8,0.20605982,0.166137334702418
"ANH4221","u_F2",35,6.2,0.75621356,0.268169118309307
"ANH4221","u_F2",50,21.2,0.0044063,0.0142434405006745
"ANH4221","u_F2",65,36.2,0,3.1775316497789e-07
"ANH4222","a_F1",20,9.9,0.42229341,0.327472464331814
"ANH4222","a_F1",35,24.9,3.521e-05,0.00068300061126506
"ANH4222","a_F1",50,39.9,0.22585576,0.301992923777691
"ANH4222","a_F1",65,54.9,1e-08,8.16173295803305e-08
"ANH4222","a_F2",20,1.71,0.36765298,0.501619205489679
"ANH4222","a_F2",35,16.71,0.00037543,0.00413519811677878
"ANH4222","a_F2",50,31.71,1.72e-06,7.716537496577e-06
"ANH4222","a_F2",65,46.71,0,3.25118409552056e-08
"ANH4222","i_F1",20,3.46,0.89239236,0.212842928387074
"ANH4222","i_F1",35,18.46,0.21424998,0.173582408026353
"ANH4222","i_F1",50,33.46,0.30636114,0.247514494312892
"ANH4222","i_F1",65,48.46,0,1.22229746192209e-05
"ANH4222","i_F2",20,-3.64,0.54098836,0.599147408081103
"ANH4222","i_F2",35,11.36,0.32855097,0.205016542693792
"ANH4222","i_F2",50,26.36,0.69545263,0.771341051195564
"ANH4222","i_F2",65,41.36,0.00113356,0.17784033340259
"ANH4222","s",20,-5.36,0.91228496,0.879687212533992
"ANH4222","s",35,9.64,7.8e-07,2.21748610169225e-05
"ANH4222","s",50,24.64,1.95e-06,0.00016653920996868
"ANH4222","s",65,39.64,0,8.0672003274595e-07
"ANH4222","sh",20,0.63,0.87655126,0.712232948227214
"ANH4222","sh",35,15.63,0.00438784,0.149090604974543
"ANH4222","sh",50,30.63,7.802e-05,0.00669123755859866
"ANH4222","sh",65,45.63,0,7.48883817488143e-05
"ANH4222","u_F1",20,3.66,0.95389302,0.892661101586728
"ANH4222","u_F1",35,18.66,0.81547438,0.448416478728941
"ANH4222","u_F1",50,33.66,0.00226529,0.00259634283873739
"ANH4222","u_F1",65,48.66,0,2.29029406843963e-08
"ANH4222","u_F2",20,-8.8,0.67046784,0.503425481728493
"ANH4222","u_F2",35,6.2,0.19601805,0.777934341229635
"ANH4222","u_F2",50,21.2,0.30059714,0.63907026126773
"ANH4222","u_F2",65,36.2,0.00048503,0.00043718623217534
"ANH4224","a_F1",20,9.9,0.77659283,0.749440590943332
"ANH4224","a_F1",35,24.9,0.00287561,0.0130587264538371
"ANH4224","a_F1",50,39.9,0.14011557,0.111558491630058
"ANH4224","a_F1",65,54.9,4.7e-07,0.00340074989611896
"ANH4224","a_F2",20,6.71,0.05022372,0.056758057283842
"ANH4224","a_F2",35,21.71,0.31433134,0.680848032946012
"ANH4224","a_F2",50,36.71,0.00011094,0.000267424914736533
"ANH4224","a_F2",65,51.71,0,7.95964463556918e-07
"ANH4224","i_F1",20,3.46,0.89241323,0.740840902826338
"ANH4224","i_F1",35,18.46,0.31001693,0.0421501158948258
"ANH4224","i_F1",50,33.46,0.00182761,0.0223542222468134
"ANH4224","i_F1",65,48.46,1.406e-05,0.00144512691827434
"ANH4224","i_F2",20,-8.64,0.45881106,0.545395381527627
"ANH4224","i_F2",35,6.36,0.71950289,0.951830725273976
"ANH4224","i_F2",50,21.36,0.00200145,0.0244658099033633
"ANH4224","i_F2",65,36.36,2.596e-05,0.000253940462832556
"ANH4224","s",20,-0.36,0.3016815,0.0679677564584958
"ANH4224","s",35,14.64,0,2.51674530021056e-07
"ANH4224","s",50,29.64,0,4.93752275686024e-08
"ANH4224","s",65,44.64,0,4.88208259400494e-09
"ANH4224","sh",20,-4.37,0.45615486,0.28060345668007
"ANH4224","sh",35,10.63,0.00043449,0.0192886423712302
"ANH4224","sh",50,25.63,0,4.26963632360423e-07
"ANH4224","sh",65,40.63,0,5.28888111719968e-07
"ANH4224","u_F1",20,3.66,0.41501546,0.233139442560927
"ANH4224","u_F1",35,18.66,0.68899609,0.847998532168934
"ANH4224","u_F1",50,33.66,0.2959288,0.120956497389734
"ANH4224","u_F1",65,48.66,0,0.000803194000000346
"ANH4224","u_F2",20,-3.8,0.21448873,0.643927334789319
"ANH4224","u_F2",35,11.2,0.00025467,0.00028364912617754
"ANH4224","u_F2",50,26.2,8.44e-06,0.0106164575516558
"ANH4224","u_F2",65,41.2,2.6e-07,0.00301503807048146
"ANH4227","a_F1",20,4.9,0.13394489,0.157311036938279
"ANH4227","a_F1",35,19.9,0,1.218522369103e-11
"ANH4227","a_F1",50,34.9,0,7.87782739329431e-07
"ANH4227","a_F1",65,49.9,0,9.15033040601642e-11
"ANH4227","a_F2",20,1.71,0.60276006,0.263860758731881
"ANH4227","a_F2",35,16.71,6.69e-06,0.000685761703995858
"ANH4227","a_F2",50,31.71,0,1.88607044636053e-05
"ANH4227","a_F2",65,46.71,0,7.45025074913938e-07
"ANH4227","i_F1",20,-1.54,0.89785449,0.142200614372368
"ANH4227","i_F1",35,13.46,0.8436548,0.133125011543102
"ANH4227","i_F1",50,28.46,0,3.06112038981775e-10
"ANH4227","i_F1",65,43.46,0,2.01374516869855e-12
"ANH4227","i_F2",20,-3.64,0.90276383,0.313119010478173
"ANH4227","i_F2",35,11.36,0.45149431,0.45074799759128
"ANH4227","i_F2",50,26.36,0,4.90712140619771e-07
"ANH4227","i_F2",65,41.36,0,3.43950926093078e-11
"ANH4227","s",20,4.64,0.01794224,0.318135206958588
"ANH4227","s",35,19.64,0,9.69002961925075e-07
"ANH4227","s",50,34.64,0,2.70302531599894e-10
"ANH4227","s",65,49.64,0,2.09408464477523e-11
"ANH4227","sh",20,0.63,0.74175027,0.947627085526558
"ANH4227","sh",35,15.63,0.13000358,0.42062797028621
"ANH4227","sh",50,30.63,0,6.97227016531863e-08
"ANH4227","sh",65,45.63,0,8.23545606708469e-06
"ANH4227","u_F1",20,3.66,0.17183372,0.181383472779989
"ANH4227","u_F1",35,18.66,0.01631879,0.133527672904927
"ANH4227","u_F1",50,33.66,0,5.08200908227236e-11
"ANH4227","u_F1",65,48.66,0,3.56302563755140e-10
"ANH4227","u_F2",20,9.9,0.72985065,0.421077090794082
"ANH4227","u_F2",35,24.9,0.70941518,0.45460212906405
"ANH4227","u_F2",50,39.9,0,9.55252617391982e-07
"ANH4227","u_F2",65,54.9,0,7.19853992282591e-08
"ANH4228","a_F1",20,9.9,0.25450703,0.655065777073708
"ANH4228","a_F1",35,24.9,0.03961748,0.0348334043034571
"ANH4228","a_F1",50,39.9,0.70356618,0.682183700916332
"ANH4228","a_F1",65,54.9,0.05978903,0.177553998347435
"ANH4228","a_F2",20,6.71,0.48445869,0.353986247654649
"ANH4228","a_F2",35,21.71,0.13911044,0.00382905085486116
"ANH4228","a_F2",50,36.71,0,0.000423175975367041
"ANH4228","a_F2",65,51.71,0,1.93410753015759e-06
"ANH4228","i_F1",20,-1.54,0.67340469,0.421653363287322
"ANH4228","i_F1",35,13.46,0.53530626,0.360966002221195
"ANH4228","i_F1",50,28.46,0.00354505,0.00798387905310684
"ANH4228","i_F1",65,43.46,0.00914665,0.0827410617633308
"ANH4228","i_F2",20,-3.64,0.42693187,0.200121491439856
"ANH4228","i_F2",35,11.36,0.12547767,0.208177034166093
"ANH4228","i_F2",50,26.36,0.00117429,0.00119109916776635
"ANH4228","i_F2",65,41.36,1.153e-05,0.00450071681169617
"ANH4228","s",20,-10.36,0.19685667,0.218939704346017
"ANH4228","s",35,4.64,0.49142559,0.408202901839231
"ANH4228","s",50,19.64,9.8e-07,0.000211135858240753
"ANH4228","s",65,34.64,0,2.84089804648663e-07
"ANH4228","sh",20,-4.37,0.7816781,0.6591203925654
"ANH4228","sh",35,10.63,0.1041733,0.766976916938522
"ANH4228","sh",50,25.63,0.00302137,0.0933288717372013
"ANH4228","sh",65,40.63,0,2.27833956861336e-05
"ANH4228","u_F1",20,-1.34,0.24329712,0.271601050087764
"ANH4228","u_F1",35,13.66,0.54952217,0.548206886173227
"ANH4228","u_F1",50,28.66,0.00781377,0.00601693386216435
"ANH4228","u_F1",65,43.66,0.00317458,0.183346600969237
"ANH4228","u_F2",20,-3.8,0.0657404,0.0646552936777342
"ANH4228","u_F2",35,11.2,0.8136056,0.810744577311409
"ANH4228","u_F2",50,26.2,0.83481803,0.492739056484082
"ANH4228","u_F2",65,41.2,4.115e-05,0.00409026855592621
"ANH4267","a_F1",20,-0.1,0.4482483,0.637719189556508
"ANH4267","a_F1",35,14.9,0.00012915,0.00118693216306687
"ANH4267","a_F1",50,29.9,0.09190881,0.288698221598508
"ANH4267","a_F1",65,44.9,0,1.15071093476209e-10
"ANH4267","a_F2",20,-3.29,0.07224994,0.132191386566377
"ANH4267","a_F2",35,11.71,2.239e-05,0.000527646305798023
"ANH4267","a_F2",50,26.71,0,6.02643969434111e-08
"ANH4267","a_F2",65,41.71,0,4.42226590716434e-12
"ANH4267","i_F1",20,-1.54,0.97674664,0.204179145470066
"ANH4267","i_F1",35,13.46,0.00112763,0.0449271117514428
"ANH4267","i_F1",50,28.46,7.45e-06,3.07116563259794e-06
"ANH4267","i_F1",65,43.46,0,1.00180010465359e-07
"ANH4267","i_F2",20,-13.64,0.77529483,0.910344024452089
"ANH4267","i_F2",35,1.36,0.07922209,0.0626339097779757
"ANH4267","i_F2",50,16.36,0,7.67336947304698e-07
"ANH4267","i_F2",65,31.36,1e-08,2.28927016120648e-05
"ANH4267","s",20,-5.36,0.09821947,0.264146437854317
"ANH4267","s",35,9.64,0,2.3906099292889e-07
"ANH4267","s",50,24.64,0,1.52657034239917e-08
"ANH4267","s",65,39.64,0,2.46606227176577e-08
"ANH4267","sh",20,-4.37,0.95708064,0.840853851140219
"ANH4267","sh",35,10.63,2.113e-05,1.59955834228987e-05
"ANH4267","sh",50,25.63,0,4.69346788818077e-09
"ANH4267","sh",65,40.63,0,1.98545708793406e-08
"ANH4267","u_F1",20,-1.34,0.4021682,0.202651943308027
"ANH4267","u_F1",35,13.66,0.01622749,0.000191335402086754
"ANH4267","u_F1",50,28.66,4.2e-07,0.000155899474301473
"ANH4267","u_F1",65,43.66,0,8.94879079974659e-10
"ANH4267","u_F2",20,-8.8,0.75344743,0.713082122635559
"ANH4267","u_F2",35,6.2,0.22795677,0.0677221825384836
"ANH4267","u_F2",50,21.2,0.0266621,0.21695132614368
"ANH4267","u_F2",65,36.2,0,1.57069470662767e-07
